,Remarques :,"Nuit sortant <-10%, entrant -50-10% (bugs vidéos, phares ?); jour <-5% en moyenne, <-10% pour le sortant sur grosse affluence",,,,,,,
,,,,,,,,,
,Sens,,,,,,,,
,Sortant,,,Entrant,,,Total Sum of VL,Total Sum of VUL,Total Sum of PL
Row Labels,Sum of VL,Sum of VUL,Sum of PL,Sum of VL,Sum of VUL,Sum of PL,,,
17/12/2024,393,120,61,250,157,13,643,277,74
09,13,4,1,8,4,1,21,8,2
10,61,18,17,47,41,1,108,59,18
11,46,21,13,41,23,3,87,44,16
12,64,19,4,46,16,1,110,35,5
13,41,10,7,45,16,2,86,26,9
14,44,22,8,24,13,1,68,35,9
15,31,6,5,9,8,1,40,14,6
16,26,9,3,9,7,0,35,16,3
17,30,5,0,7,2,0,37,7,0
18,16,2,1,4,6,0,20,8,1
19,10,1,1,2,6,1,12,7,2
20,4,1,0,5,6,1,9,7,1
21,5,1,0,3,7,0,8,8,0
22,2,1,1,0,1,1,2,2,2
23,0,0,0,0,1,0,0,1,0
18/12/2024,385,369,108,293,347,49,678,716,157
00,1,1,0,1,1,1,2,2,1
01,1,2,2,0,4,1,1,6,3
02,2,1,0,8,10,0,10,11,0
03,2,3,1,23,31,1,25,34,2
04,4,8,2,9,16,4,13,24,6
05,8,18,4,14,3,2,22,21,6
06,28,43,5,25,4,5,53,47,10
07,19,37,7,34,16,3,53,53,10
08,29,21,14,22,20,4,51,41,18
09,26,25,17,29,42,8,55,67,25
10,44,33,13,28,45,4,72,78,17
11,37,39,12,13,35,2,50,74,14
12,38,27,8,19,32,2,57,59,10
13,35,13,4,17,25,3,52,38,7
14,14,36,5,20,25,4,34,61,9
15,17,33,5,9,11,0,26,44,5
16,21,14,4,5,7,2,26,21,6
17,29,11,2,6,2,1,35,13,3
18,18,1,0,4,3,1,22,4,1
19,5,0,1,2,2,0,7,2,1
20,1,0,1,0,0,1,1,0,2
21,2,1,0,1,4,0,3,5,0
22,1,1,0,3,3,0,4,4,0
23,3,1,1,1,6,0,4,7,1
19/12/2024,4,1,6,5,7,2,9,8,8
00,1,0,3,1,1,1,2,1,4
01,1,0,2,0,4,0,1,4,2
02,2,1,1,4,2,1,6,3,2
20/12/2024,2,2,0,1,7,0,3,9,0
21,0,0,0,1,2,0,1,2,0
22,1,1,0,0,2,0,1,3,0
23,1,1,0,0,3,0,1,4,0
21/12/2024,169,183,46,127,160,34,296,343,80
00,5,0,0,0,2,0,5,2,0
01,3,0,0,0,1,1,3,1,1
02,0,0,4,4,4,1,4,4,5
03,2,2,1,19,17,1,21,19,2
04,6,4,0,3,17,1,9,21,1
05,5,22,3,15,8,3,20,30,6
06,5,26,0,8,2,2,13,28,2
07,7,20,5,13,8,5,20,28,10
08,16,14,9,18,5,4,34,19,13
09,10,23,6,11,21,6,21,44,12
10,23,23,6,11,19,6,34,42,12
11,33,20,2,6,24,1,39,44,3
12,20,9,5,7,7,0,27,16,5
13,3,6,0,3,5,1,6,11,1
14,7,7,3,4,9,1,11,16,4
15,8,4,1,2,0,0,10,4,1
16,4,0,0,1,2,1,5,2,1
17,8,3,0,2,3,0,10,6,0
18,1,0,1,0,3,0,1,3,1
19,2,0,0,0,2,0,2,2,0
20,1,0,0,0,1,0,1,1,0
Grand Total,953,675,221,676,678,98,1629,1353,319
