,Sens,,,,,,,,
,Entrant,,,Sortant,,,Total Sum of VL,Total Sum of VUL,Total Sum of PL
Row Labels,Sum of VL,Sum of VUL,Sum of PL,Sum of VL,Sum of VUL,Sum of PL,,,
17/12/2024,40,21,21,43,60,10,83,81,31
10,3,3,9,5,8,0,8,11,9
11,5,9,6,6,10,6,11,19,12
12,11,2,1,7,14,1,18,16,2
13,5,0,3,2,3,2,7,3,5
14,6,2,0,6,6,0,12,8,0
15,4,1,2,7,6,1,11,7,3
16,3,2,0,8,5,0,11,7,0
17,1,2,0,1,5,0,2,7,0
18,2,0,0,1,3,0,3,3,0
18/12/2024,94,109,65,81,136,31,175,245,96
05,4,0,1,0,0,0,4,0,1
06,7,3,6,2,2,3,9,5,9
07,9,7,4,5,8,2,14,15,6
08,11,10,12,5,5,7,16,15,19
09,10,9,16,3,14,3,13,23,19
10,16,11,8,8,27,7,24,38,15
11,7,11,6,7,18,2,14,29,8
12,7,6,3,11,10,2,18,16,5
13,0,5,1,6,3,1,6,8,2
14,5,5,5,7,11,1,12,16,6
15,4,4,3,10,9,1,14,13,4
16,3,0,0,5,0,2,8,0,2
17,2,0,0,7,0,0,9,0,0
18,3,4,0,1,4,0,4,8,0
19,3,8,0,1,7,0,4,15,0
20,0,8,0,0,5,0,0,13,0
21,2,4,0,2,7,0,4,11,0
22,1,5,0,0,2,0,1,7,0
23,0,9,0,1,4,0,1,13,0
19/12/2024,127,233,51,127,152,16,254,385,67
00,0,8,0,1,1,0,1,9,0
01,1,6,0,0,7,0,1,13,0
02,4,14,0,3,8,0,7,22,0
03,4,8,1,3,4,0,7,12,1
04,10,15,3,2,11,0,12,26,3
05,3,11,2,3,9,1,6,20,3
06,10,29,4,4,16,2,14,45,6
07,11,21,0,12,19,0,23,40,0
08,13,7,10,7,2,1,20,9,11
09,13,8,11,13,5,3,26,13,14
10,11,10,5,12,6,3,23,16,8
11,9,8,5,13,18,0,22,26,5
12,6,5,5,2,9,1,8,14,6
13,7,3,2,10,8,3,17,11,5
14,10,6,1,7,9,0,17,15,1
15,3,2,1,18,4,1,21,6,2
16,1,1,1,9,6,1,10,7,2
17,1,11,0,4,3,0,5,14,0
18,4,28,0,1,4,0,5,32,0
19,1,11,0,1,2,0,2,13,0
20,2,8,0,0,1,0,2,9,0
21,2,7,0,0,0,0,2,7,0
22,0,3,0,0,0,0,0,3,0
23,1,3,0,2,0,0,3,3,0
20/12/2024,100,237,40,122,180,7,222,417,47
00,1,5,0,1,2,0,2,7,0
01,0,15,0,0,2,0,0,17,0
02,5,22,0,3,7,0,8,29,0
03,2,15,0,2,3,1,4,18,1
04,3,4,0,1,3,0,4,7,0
05,17,16,6,4,8,0,21,24,6
06,8,20,6,23,22,1,31,42,7
07,11,30,4,14,16,1,25,46,5
08,18,11,12,10,11,1,28,22,13
09,10,21,2,13,16,0,23,37,2
10,4,23,1,6,21,0,10,44,1
11,5,13,0,7,16,2,12,29,2
12,3,3,3,9,6,1,12,9,4
13,4,5,3,5,9,0,9,14,3
14,3,4,1,7,6,0,10,10,1
15,2,2,1,5,20,0,7,22,1
16,2,2,1,5,8,0,7,10,1
17,1,6,0,7,1,0,8,7,0
18,0,9,0,0,0,0,0,9,0
19,1,8,0,0,2,0,1,10,0
20,0,2,0,0,0,0,0,2,0
21,0,0,0,0,1,0,0,1,0
23,0,1,0,0,0,0,0,1,0
21/12/2024,24,50,4,16,45,4,40,95,8
00,1,1,0,0,0,0,1,1,0
03,1,2,0,0,1,0,1,3,0
04,4,6,0,2,7,1,6,13,1
05,5,13,1,1,6,1,6,19,2
06,2,9,1,1,7,0,3,16,1
07,1,5,0,4,2,1,5,7,1
08,3,1,1,3,4,0,6,5,1
09,0,4,1,1,2,0,1,6,1
10,3,4,0,1,5,1,4,9,1
11,1,2,0,1,7,0,2,9,0
12,0,0,0,1,1,0,1,1,0
13,1,1,0,0,0,0,1,1,0
14,0,0,0,0,1,0,0,1,0
15,0,1,0,0,0,0,0,1,0
16,0,0,0,1,0,0,1,0,0
17,1,0,0,0,1,0,1,1,0
18,1,0,0,0,1,0,1,1,0
20,0,1,0,0,0,0,0,1,0
22/12/2024,0,47,13,2,6,1,2,53,14
07,0,0,0,0,1,0,0,1,0
13,0,1,1,0,0,1,0,1,2
14,0,18,0,0,3,0,0,21,0
15,0,24,5,0,2,0,0,26,5
16,0,4,7,0,0,0,0,4,7
18,0,0,0,1,0,0,1,0,0
23,0,0,0,1,0,0,1,0,0
23/12/2024,0,0,0,0,1,1,0,1,1
00,0,0,0,0,0,1,0,0,1
03,0,0,0,0,1,0,0,1,0
Grand Total,385,697,194,391,580,70,776,1277,264
