date;time;line;sens;car;van;truck;bus;motorbike;bicycle;person;scooter
2024-12-17;09h45-10h00;0;0;13;4;1;0;0;0;0;0
2024-12-17;09h45-10h00;0;1;8;4;1;0;3;0;0;0
2024-12-17;10h00-10h15;0;0;8;5;4;0;0;0;0;0
2024-12-17;10h00-10h15;0;1;7;10;0;0;0;0;0;0
2024-12-17;10h15-10h30;0;0;17;4;3;0;0;0;0;0
2024-12-17;10h15-10h30;0;1;14;7;0;0;0;0;0;0
2024-12-17;10h30-10h45;0;0;12;2;4;0;3;0;0;0
2024-12-17;10h30-10h45;0;1;13;13;1;0;3;0;0;0
2024-12-17;10h45-11h00;0;0;24;7;6;0;1;0;0;0
2024-12-17;10h45-11h00;0;1;13;11;0;0;0;0;0;0
2024-12-17;11h00-11h15;0;0;13;5;1;0;0;0;0;0
2024-12-17;11h00-11h15;0;1;7;5;1;0;0;0;0;0
2024-12-17;11h15-11h30;0;0;12;3;6;0;0;0;0;0
2024-12-17;11h15-11h30;0;1;16;8;2;0;1;0;0;0
2024-12-17;11h30-11h45;0;0;8;7;3;0;0;0;0;0
2024-12-17;11h30-11h45;0;1;9;2;0;0;0;0;0;0
2024-12-17;11h45-12h00;0;0;13;6;3;0;0;0;0;0
2024-12-17;11h45-12h00;0;1;9;8;0;0;0;0;0;0
2024-12-17;12h00-12h15;0;0;22;3;1;0;0;0;0;0
2024-12-17;12h00-12h15;0;1;22;2;1;0;0;0;0;0
2024-12-17;12h15-12h30;0;0;17;7;3;0;0;0;0;0
2024-12-17;12h15-12h30;0;1;15;7;0;0;0;0;0;0
2024-12-17;12h30-12h45;0;0;10;3;0;0;1;0;0;0
2024-12-17;12h30-12h45;0;1;4;4;0;0;0;0;0;0
2024-12-17;12h45-13h00;0;0;15;6;0;0;0;0;0;0
2024-12-17;12h45-13h00;0;1;5;3;0;0;0;0;0;0
2024-12-17;13h00-13h15;0;0;17;4;1;0;0;0;0;0
2024-12-17;13h00-13h15;0;1;14;4;0;0;0;0;0;0
2024-12-17;13h15-13h30;0;0;13;3;3;0;1;0;0;0
2024-12-17;13h15-13h30;0;1;14;0;1;0;0;0;0;0
2024-12-17;13h30-13h45;0;0;2;3;0;0;0;0;0;0
2024-12-17;13h30-13h45;0;1;9;4;1;0;0;0;0;0
2024-12-17;13h45-14h00;0;0;9;0;3;0;0;0;0;0
2024-12-17;13h45-14h00;0;1;8;8;0;0;0;0;0;0
2024-12-17;14h00-14h15;0;0;18;5;3;0;1;0;0;0
2024-12-17;14h00-14h15;0;1;6;4;1;0;0;0;0;0
2024-12-17;14h15-14h30;0;0;9;4;2;0;0;0;0;0
