date;time;line;sens;car;van;truck;bus;motorbike;bicycle;person;scooter
2024-12-17;10h30-10h45;0;0;1;1;5;0;2;0;0;0
2024-12-17;10h30-10h45;0;1;3;4;0;0;1;0;0;0
2024-12-17;10h45-11h00;0;0;2;2;4;0;0;0;0;0
2024-12-17;10h45-11h00;0;1;2;4;0;0;0;0;0;0
2024-12-17;11h00-11h15;0;0;2;5;0;0;0;0;0;0
2024-12-17;11h00-11h15;0;1;2;3;1;0;0;0;0;0
2024-12-17;11h15-11h30;0;0;2;0;4;0;0;0;0;0
2024-12-17;11h15-11h30;0;1;0;1;3;0;0;0;0;0
2024-12-17;11h30-11h45;0;0;1;1;1;0;0;0;0;0
2024-12-17;11h30-11h45;0;1;1;3;2;0;0;0;0;0
2024-12-17;11h45-12h00;0;0;0;3;1;0;0;0;0;0
2024-12-17;11h45-12h00;0;1;3;3;0;0;0;0;0;0
2024-12-17;12h00-12h15;0;0;4;1;0;0;0;0;0;0
2024-12-17;12h00-12h15;0;1;3;3;1;0;0;0;0;0
2024-12-17;12h15-12h30;0;0;3;1;1;0;0;0;0;0
2024-12-17;12h15-12h30;0;1;0;4;0;0;0;0;0;0
2024-12-17;12h30-12h45;0;0;2;0;0;0;0;0;0;0
2024-12-17;12h30-12h45;0;1;2;5;0;0;0;0;0;0
2024-12-17;12h45-13h00;0;0;2;0;0;0;0;0;0;0
2024-12-17;12h45-13h00;0;1;2;2;0;0;0;0;0;0
2024-12-17;13h00-13h15;0;0;3;0;0;0;0;0;0;0
2024-12-17;13h00-13h15;0;1;2;1;0;0;0;0;0;0
2024-12-17;13h15-13h30;0;0;1;0;1;0;0;0;0;0
2024-12-17;13h15-13h30;0;1;0;2;0;0;0;0;0;0
2024-12-17;13h30-13h45;0;0;1;0;1;0;0;0;0;0
2024-12-17;13h30-13h45;0;1;0;0;2;0;0;0;0;0
2024-12-17;13h45-14h00;0;0;0;0;1;0;0;0;0;0
2024-12-17;13h45-14h00;0;1;0;0;0;0;1;0;0;0
2024-12-17;14h00-14h15;0;0;1;0;0;0;0;0;0;0
2024-12-17;14h00-14h15;0;1;1;0;0;0;0;0;0;0
2024-12-17;14h15-14h30;0;0;2;1;0;0;0;0;0;0
2024-12-17;14h15-14h30;0;1;1;2;0;0;0;0;0;0
2024-12-17;14h30-14h45;0;0;2;0;0;0;0;0;0;0
2024-12-17;14h30-14h45;0;1;2;2;0;0;0;0;0;0
2024-12-17;14h45-15h00;0;0;1;1;0;0;0;0;0;0
2024-12-17;14h45-15h00;0;1;2;2;0;0;0;0;0;0
2024-12-17;15h00-15h15;0;0;0;1;2;0;0;0;0;0
2024-12-17;15h00-15h15;0;1;0;3;1;0;0;0;0;0
2024-12-17;15h15-15h30;0;0;2;0;0;0;0;0;0;0
2024-12-17;15h15-15h30;0;1;0;2;0;0;0;0;0;0
2024-12-17;15h30-15h45;0;0;2;0;0;0;0;0;0;0
2024-12-17;15h30-15h45;0;1;6;0;0;0;0;0;0;0
2024-12-17;15h45-16h00;0;0;0;0;0;0;0;0;0;0
2024-12-17;15h45-16h00;0;1;1;1;0;0;0;0;0;0
2024-12-17;16h00-16h15;0;0;0;1;0;0;0;0;0;0
2024-12-17;16h00-16h15;0;1;1;3;0;0;0;0;0;0
2024-12-17;16h15-16h30;0;0;1;1;0;0;2;0;0;0
2024-12-17;16h15-16h30;0;1;4;1;0;0;0;0;0;0
2024-12-17;16h30-16h45;0;0;1;0;0;0;0;0;0;0
2024-12-17;16h30-16h45;0;1;2;1;0;0;1;0;0;0
